sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;almacen de ropa en;cabecera_san_antonio_;2;80.0;22/09/2016;4000000.0;microempresarial
masculino;industria;variedades;cabecera_san_antonio_;2;80.0;24/07/2017;5000000.0;credioportuno
masculino;industria;fabrica de;guayabal;2;15.0;2/03/2016;4000000.0;microempresarial
masculino;industria;fabrica de;belen;2;16.0;24/05/2016;6500000.0;microempresarial
femenino;comercio;comidas rapidas;santander;2;6.0;27/07/2018;1200000.0;microempresarial
femenino;comercio;almacen de ropa en;prado;3;10.0;20/11/2017;7000000.0;microempresarial
femenino;comercio;comidas rapidas;santa_cruz;2;2.0;22/03/2018;1500000.0;microempresarial
masculino;industria;fabrica de traperos;aranjuez;3;4.0;24/02/2016;2000000.0;microempresarial
femenino;comercio;variedades;castilla;3;5.0;15/02/2017;4000000.0;microempresarial
masculino;industria;fabrica de alimentos;san_javier_no.2;3;13.0;29/02/2016;6890000.0;microempresarial
masculino;industria;fabrica de;san_javier_no.1;1;13.0;15/08/2017;6000000.0;microempresarial
masculino;servicio;variedades;pedregal;3;6.0;24/04/2017;7000000.0;microempresarial
masculino;comercio;panaderia;cabecera_san_antonio_;2;80.0;27/04/2017;3000000.0;microempresarial
masculino;servicio;mantenimiento en;la_milagrosa;2;9.0;16/05/2018;7000000.0;microempresarial
masculino;comercio;variedades;la_floresta;3;12.0;16/08/2016;6000000.0;microempresarial
femenino;comercio;fabrica de;san_javier_no.1;1;13.0;5/10/2017;7300000.0;microempresarial
masculino;comercio;tienda;cabecera_san_antonio_;3;80.0;21/05/2018;5500000.0;microempresarial
femenino;comercio;tienda de helados;robledo;3;7.0;23/05/2018;7800000.0;microempresarial
femenino;comercio;variedades;tricentenario;3;5.0;27/04/2017;7000000.0;microempresarial
femenino;comercio;miscelanea;villa_hermosa;3;8.0;19/12/2016;6890000.0;microempresarial
masculino;servicio;mantenimiento en;andalucia;1;2.0;22/01/2016;6890000.0;microempresarial
femenino;comercio;tienda;bombona_no._1;3;10.0;5/10/2016;4000000.0;microempresarial
masculino;industria;fabrica de;santa_cruz;2;2.0;30/09/2016;6890000.0;microempresarial
femenino;comercio;almacen de ropa en;manrique_oriental;2;3.0;8/02/2017;1200000.0;microempresarial
femenino;comercio;fabrica de;villa_liliam;1;13.0;6/02/2019;7800000.0;microempresarial
masculino;comercio;tienda;kennedy;2;6.0;27/09/2018;5000000.0;microempresarial
femenino;comercio;variedades;robledo;2;7.0;28/10/2016;6000000.0;microempresarial
femenino;comercio;tienda;santa_cruz;2;2.0;4/04/2016;4000000.0;microempresarial
femenino;comercio;variedades;popular;2;1.0;29/02/2016;6500000.0;microempresarial
masculino;comercio;comidas rapidas;doce_de_octubre_no.1;2;6.0;21/05/2018;5000000.0;microempresarial
masculino;servicio;bares;san_javier_no.1;2;13.0;16/07/2018;5000000.0;microempresarial
masculino;industria;fabrica de;buenos_aires;3;9.0;6/03/2018;7800000.0;microempresarial
femenino;comercio;peluqueria;pedregal;3;6.0;18/04/2017;7000000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7.0;3/07/2018;4000000.0;microempresarial
femenino;comercio;tienda;robledo;2;7.0;5/09/2018;5000000.0;microempresarial
femenino;comercio;peluqueria;robledo;2;7.0;3/05/2018;6000000.0;microempresarial
femenino;agropecuaria;criadero de animales;la_floresta;2;12.0;14/06/2016;6890000.0;microempresarial
masculino;comercio;almacen de ropa en;popular;1;1.0;18/10/2018;7800000.0;microempresarial
masculino;comercio;tienda;la_milagrosa;3;9.0;20/02/2018;5000000.0;microempresarial
femenino;comercio;restaurante;enciso;3;8.0;9/03/2017;7000000.0;microempresarial
femenino;servicio;organización y;pedregal;3;6.0;12/10/2017;7377000.0;microempresarial
femenino;industria;fabrica de;el_salvador;2;9.0;6/06/2017;7377000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._1;2;4.0;27/04/2018;3000000.0;microempresarial
masculino;servicio;restaurante;belen;3;16.0;3/04/2017;7350000.0;microempresarial
femenino;comercio;variedades;buenos_aires;3;9.0;20/06/2017;1000000.0;microempresarial
masculino;comercio;tienda;aranjuez;1;4.0;4/09/2017;3000000.0;microempresarial
femenino;servicio;peluqueria;el_salvador;2;60.0;19/09/2017;3000000.0;microempresarial
femenino;industria;fabrica de;la_esperanza;1;6.0;12/04/2018;3000000.0;microempresarial
femenino;comercio;panaderia;playon_de_los_;2;2.0;22/11/2016;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;santa_cruz;2;2.0;21/02/2017;6000000.0;microempresarial
masculino;comercio;tienda;robledo;1;7.0;18/12/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;3;7.0;29/01/2018;7800000.0;microempresarial
femenino;industria;fabrica de;barrio_caicedo;2;9.0;16/03/2017;5000000.0;microempresarial
masculino;servicio;variedades;santo_domingo_savio_;1;1.0;28/02/2018;7000000.0;microempresarial
femenino;comercio;variedades;aranjuez;2;4.0;25/08/2016;3000000.0;microempresarial
masculino;servicio;comidas rapidas;robledo;2;7.0;29/03/2017;7377000.0;microempresarial
femenino;comercio;tienda;popular;2;1.0;29/06/2017;7300000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7.0;9/03/2017;6000000.0;microempresarial
masculino;comercio;tienda;el_salvador;3;9.0;12/04/2016;1000000.0;microempresarial
femenino;comercio;miscelanea;centro_admtivo;1;10.0;15/02/2018;5000000.0;microempresarial
femenino;comercio;variedades;doce_de_octubre_no.1;2;6.0;2/03/2017;3000000.0;microempresarial
masculino;comercio;fabrica de;centro_admtivo;2;10.0;24/01/2018;4500000.0;microempresarial
femenino;comercio;fabrica de alimentos;campo_valdes_no._2;1;3.0;24/11/2017;3000000.0;microempresarial
masculino;comercio;variedades;campo_valdes_no._1;3;4.0;6/06/2018;4000000.0;microempresarial
femenino;servicio;fabrica de arepas;villa_hermosa;3;8.0;24/08/2016;1050000.0;microempresarial
femenino;industria;carpinteria;belen;3;16.0;30/01/2018;7800000.0;microempresarial
femenino;comercio;variedades;calasanz;3;12.0;16/05/2018;3000000.0;microempresarial
femenino;servicio;variedades;las_palmas;2;10.0;22/12/2017;4400000.0;microempresarial
masculino;comercio;tienda;girardot;3;5.0;16/05/2019;8200000.0;microempresarial
masculino;servicio;drogueria;cabecera_san_cristobal;2;60.0;12/07/2018;7800000.0;microempresarial
femenino;industria;fabrica de;moravia;2;4.0;1/06/2018;7800000.0;microempresarial
femenino;comercio;tienda;enciso;2;8.0;18/04/2017;7000000.0;microempresarial
femenino;comercio;almacen de ropa en;cabecera_san_antonio_;2;80.0;9/02/2017;7377000.0;microempresarial
femenino;comercio;tienda de helados;san_javier_no.1;2;13.0;27/09/2017;30000000.0;empresarial ed.
femenino;comercio;almacen de ropa en;antonio_nariño;2;13.0;16/08/2016;6890000.0;microempresarial
masculino;comercio;productos de mar;santa_cruz;2;2.0;7/06/2018;2500000.0;microempresarial
femenino;agropecuaria;criadero de animales;cabecera_san_antonio_;2;80.0;5/12/2017;7300000.0;microempresarial
masculino;servicio;cafe e internet;moravia;3;4.0;13/02/2018;3000000.0;microempresarial
femenino;industria;fabrica de;popular;2;1.0;24/08/2018;7800000.0;microempresarial
masculino;industria;ebanistaria;manrique_oriental;2;3.0;6/12/2016;6500000.0;microempresarial
femenino;comercio;variedades;las_palmas;2;8.0;22/05/2018;4400000.0;microempresarial
masculino;agropecuaria;sembrados;santa_elena_central;2;90.0;26/07/2017;10000000.0;agropecuaria
femenino;comercio;variedades;aranjuez;3;4.0;2/02/2018;36.0;microempresarial
masculino;industria;fabrica de calzado;el_socorro;2;13.0;12/12/2017;7370000.0;microempresarial
masculino;industria;fabrica de;doce_de_octubre_no.1;1;6.0;27/07/2016;6800000.0;microempresarial
femenino;comercio;fabrica de helados;manrique_central_no._1;2;4.0;4/10/2016;6000000.0;microempresarial
femenino;comercio;miscelanea;lopez_de_mesa;3;7.0;18/10/2017;2000000.0;microempresarial
femenino;comercio;bares;aures_no._2;2;7.0;1/03/2019;2500000.0;microempresarial
masculino;servicio;variedades;popular;2;1.0;31/08/2017;5000000.0;microempresarial
femenino;comercio;miscelanea;buenos_aires;2;9.0;24/01/2017;7370000.0;microempresarial
femenino;comercio;papeleria;cabecera_san_antonio_;2;80.0;11/12/2018;2000000.0;microempresarial
masculino;servicio;restaurante;centro_admtivo;3;10.0;8/11/2017;4000000.0;microempresarial
femenino;comercio;carniceria;robledo;3;7.0;13/10/2017;4000000.0;microempresarial
femenino;industria;fabrica de;castilla;2;5.0;18/01/2019;8200000.0;microempresarial
femenino;comercio;comidas rapidas;san_jose_de_la_cima_no._;1;3.0;16/02/2018;2000000.0;microempresarial
femenino;servicio;comidas rapidas;palermo;1;4.0;18/08/2016;3500000.0;microempresarial
masculino;servicio;tienda;13_de_noviembre;1;8.0;15/08/2017;7200000.0;microempresarial
femenino;servicio;mantenimiento en;tejelo;3;5.0;3/04/2017;7377000.0;microempresarial
femenino;industria;fabrica de;doce_de_octubre_no.1;1;6.0;15/04/2016;2000000.0;microempresarial
femenino;comercio;variedades;francisco_antonio_zea;2;5.0;9/02/2018;781000.0;microempresarial
femenino;comercio;tienda;picacho;1;6.0;29/05/2019;8200000.0;microempresarial
masculino;comercio;almacen de ropa en;girardot;3;5.0;23/02/2017;3000000.0;microempresarial
masculino;industria;carpinteria;manrique_oriental;1;3.0;16/12/2016;6900000.0;microempresarial
femenino;servicio;peluqueria;buenos_aires;3;9.0;13/06/2017;7377000.0;microempresarial
femenino;comercio;variedades;el_salvador;2;9.0;27/10/2017;6500000.0;microempresarial
masculino;servicio;cafeteria;santa_elena_central;2;90.0;16/05/2016;6000000.0;microempresarial
masculino;servicio;barberia;robledo;2;7.0;8/05/2018;6000000.0;microempresarial
masculino;comercio;peluqueria;belen;3;16.0;8/06/2018;7800000.0;microempresarial
femenino;industria;fabrica de;la_loma_oriental;2;60.0;16/12/2016;6890000.0;microempresarial
masculino;servicio;barberia;la_loma;1;60.0;24/08/2018;7800000.0;microempresarial
femenino;servicio;cafe e internet;buenos_aires;3;9.0;5/12/2016;6890000.0;microempresarial
femenino;servicio;fabrica de;castilla;3;5.0;9/02/2017;7377000.0;microempresarial
masculino;comercio;variedades;barrio_caicedo;2;9.0;24/10/2017;7300000.0;microempresarial
masculino;industria;fabrica de;manrique_oriental;2;3.0;18/06/2018;4000000.0;microempresarial
masculino;servicio;peluqueria;robledo;2;7.0;21/02/2018;7000000.0;microempresarial
femenino;servicio;comidas rapidas;florencia;3;5.0;18/10/2018;1500000.0;microempresarial
femenino;comercio;comidas rapidas;andalucia;2;2.0;21/06/2018;5000000.0;microempresarial
masculino;servicio;mantenimiento en;enciso;3;8.0;27/09/2018;7800000.0;microempresarial
masculino;comercio;comidas rapidas;doce_de_octubre_no.1;2;6.0;24/10/2018;4000000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._2;2;3.0;12/06/2019;4500000.0;microempresarial
masculino;industria;fabrica de muebles;cabecera_san_cristobal;3;60.0;26/10/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;aranjuez;3;4.0;13/06/2017;4000000.0;microempresarial
masculino;industria;fabrica de alimentos;robledo;3;7.0;1/11/2018;7800000.0;microempresarial
femenino;comercio;tienda;robledo;2;7.0;13/02/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;san_javier_no.1;1;13.0;14/03/2018;7800000.0;microempresarial
femenino;servicio;cafe e internet;robledo;1;7.0;24/06/2016;6000000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._1;1;4.0;13/11/2018;2500000.0;microempresarial
femenino;comercio;legumbreria;manrique_central_no._2;2;3.0;14/04/2016;6000000.0;microempresarial
masculino;servicio;cafe e internet;buenos_aires;3;9.0;6/02/2018;4000000.0;microempresarial
femenino;comercio;variedades;robledo;1;7.0;24/08/2018;7800000.0;microempresarial
femenino;industria;fabrica de;la_floresta;2;13.0;21/12/2018;5000000.0;microempresarial
femenino;comercio;variedades;cabecera_san_antonio_;2;80.0;17/06/2016;6800000.0;microempresarial
masculino;comercio;panaderia;pedregal_alto;3;60.0;4/12/2017;7000000.0;microempresarial
masculino;comercio;ferreteria;villa_del_socorro;1;2.0;15/02/2018;7800000.0;microempresarial
femenino;comercio;variedades;buenos_aires;3;9.0;1/08/2018;1000000.0;microempresarial
femenino;industria;fabrica de;la_libertad;2;8.0;31/05/2018;7800000.0;microempresarial
femenino;comercio;variedades;el_chagualo;3;10.0;25/05/2018;7800000.0;microempresarial
femenino;comercio;miscelanea;popular;1;1.0;26/10/2016;4000000.0;microempresarial
femenino;industria;fabrica de arepas;san_javier_no.1;3;13.0;15/06/2016;6500000.0;microempresarial
femenino;industria;fabrica de;aranjuez;2;4.0;22/03/2018;3400000.0;microempresarial
masculino;comercio;comidas rapidas;popular;2;1.0;22/11/2017;4000000.0;microempresarial
masculino;comercio;tienda;picacho;1;6.0;4/05/2018;7000000.0;microempresarial
femenino;industria;fabrica de;campo_valdes_no._1;3;4.0;25/01/2019;5000000.0;microempresarial
femenino;servicio;tienda;enciso;2;8.0;25/04/2017;5000000.0;microempresarial
femenino;industria;fabrica de;santa_cruz;2;2.0;17/07/2018;7800000.0;microempresarial
masculino;industria;fabrica de;trinidad;3;15.0;19/05/2016;3000000.0;microempresarial
femenino;comercio;fabrica de arepas;barrio_caicedo;2;9.0;20/03/2019;4000000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7.0;17/08/2018;5000000.0;microempresarial
femenino;comercio;variedades;el_poblado;3;14.0;16/06/2017;7000000.0;microempresarial
femenino;comercio;comidas rapidas;santa_cruz;2;2.0;3/12/2018;6000000.0;microempresarial
masculino;comercio;almacen de ropa en;santa_cruz;2;2.0;5/02/2019;8000000.0;microempresarial
femenino;industria;carpinteria;cabecera_san_antonio_;2;80.0;15/09/2016;6500000.0;microempresarial
masculino;servicio;recreativo educativo;cabecera_san_cristobal;3;60.0;6/02/2019;7800000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._1;2;4.0;27/06/2019;8281000.0;microempresarial
masculino;industria;fabrica de repuestos;la_floresta;2;12.0;9/07/2018;7800000.0;microempresarial
femenino;comercio;tienda;la_francia;2;2.0;8/04/2019;6000000.0;microempresarial
masculino;servicio;comidas rapidas;castilla;2;5.0;26/04/2016;6890000.0;microempresarial
femenino;servicio;distribuidora de;san_javier_no.1;2;13.0;3/04/2017;7000000.0;microempresarial
masculino;industria;fabrica de repuestos;guayabal;3;15.0;29/12/2017;7300000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._1;2;4.0;21/08/2018;3000000.0;microempresarial
femenino;comercio;almacen de ropa en;20_de_julio;1;13.0;8/06/2018;2000000.0;microempresarial
masculino;comercio;variedades;la_milagrosa;3;9.0;9/03/2018;5000000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4.0;24/09/2018;7800000.0;microempresarial
femenino;servicio;recreativo educativo;castilla;3;5.0;17/12/2018;7500000.0;microempresarial
masculino;comercio;distribuidora de;villa_hermosa;3;8.0;4/08/2017;7300000.0;microempresarial
femenino;comercio;restaurante;manrique_central_no._1;2;4.0;27/09/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;buenos_aires;3;9.0;14/06/2017;7300000.0;microempresarial
femenino;comercio;taller de electronica;barrio_caicedo;1;9.0;14/11/2018;3000000.0;microempresarial
femenino;industria;fabrica de;castilla;3;5.0;4/01/2019;7800000.0;microempresarial
femenino;comercio;variedades;la_pradera;2;13.0;10/07/2017;7370000.0;microempresarial
masculino;servicio;productos de belleza;robledo;2;4.0;10/07/2018;5000000.0;microempresarial
femenino;industria;fabrica de muebles;castilla;3;5.0;22/09/2017;4000000.0;microempresarial
masculino;industria;fabrica de;buenos_aires;3;9.0;12/06/2019;2500000.0;microempresarial
femenino;industria;fabrica de;san_pablo;2;1.0;21/02/2018;1000000.0;microempresarial
masculino;comercio;almacen de ropa en;robledo;2;7.0;10/07/2017;7377000.0;microempresarial
femenino;comercio;tienda;manrique_central_no._2;3;3.0;22/05/2019;5000000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;2;7.0;27/01/2017;4000000.0;microempresarial
femenino;comercio;variedades;jardin_botanico;2;3.0;30/01/2019;4000000.0;microempresarial
masculino;industria;fabrica de;manrique_oriental;1;3.0;3/10/2018;7800000.0;microempresarial
masculino;servicio;lavanderia;robledo;3;7.0;9/07/2018;7800000.0;microempresarial
femenino;industria;fabrica de;buenos_aires;1;9.0;12/07/2018;4000000.0;microempresarial
femenino;comercio;venta de calzado;belen;2;16.0;19/10/2016;4000000.0;microempresarial
masculino;servicio;taller de electronica;san_javier_no.1;3;13.0;15/02/2019;8122200.0;microempresarial
masculino;comercio;tienda;manrique_central_no._1;3;4.0;10/05/2018;7800000.0;microempresarial
masculino;comercio;papeleria;el_salvador;3;9.0;26/04/2019;7000000.0;microempresarial
masculino;comercio;carpinteria;cabecera_san_cristobal;2;60.0;1/08/2018;3000000.0;microempresarial
masculino;industria;ebanistaria;belencito;2;13.0;4/11/2016;4000000.0;microempresarial
masculino;industria;fabrica de;cabecera_san_cristobal;2;60.0;19/12/2018;4000000.0;microempresarial
masculino;comercio;tienda;san_antonio;3;8.0;21/06/2019;4500000.0;microempresarial
femenino;servicio;criadero de animales;belen;2;16.0;9/03/2017;4000000.0;microempresarial
femenino;comercio;variedades;miranda;2;4.0;1/02/2018;2000000.0;microempresarial
femenino;industria;fabrica de;tejelo;3;5.0;24/04/2017;5000000.0;microempresarial
masculino;servicio;recreativo educativo;la_esperanza;3;6.0;7/03/2016;6890000.0;microempresarial
masculino;industria;ebanistaria;belencito;2;13.0;18/05/2018;2000000.0;microempresarial
femenino;industria;fabrica de;las_esmeraldas;2;4.0;6/03/2018;3000000.0;microempresarial
femenino;servicio;recreativo educativo;robledo;2;7.0;19/05/2016;2000000.0;microempresarial
masculino;comercio;comidas rapidas;barrio_caicedo;1;9.0;3/10/2018;7500000.0;microempresarial
masculino;comercio;restaurante;belen;2;16.0;23/02/2017;5000000.0;microempresarial
masculino;industria;comidas rapidas;moravia;2;4.0;27/06/2018;3500000.0;microempresarial
masculino;industria;fabrica de productos;santander;2;6.0;18/08/2017;7377000.0;microempresarial
masculino;industria;panaderia;castilla;2;5.0;16/05/2017;7370000.0;microempresarial
femenino;comercio;variedades;buenos_aires;3;9.0;15/02/2017;6800000.0;microempresarial
masculino;industria;fabrica de;campo_valdes_no._1;2;4.0;7/03/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;aranjuez;2;4.0;13/08/2018;7812242.0;microempresarial
femenino;servicio;mantenimiento en;doce_de_octubre_no.1;1;6.0;27/01/2017;6000000.0;microempresarial
femenino;comercio;variedades;santander;2;6.0;21/06/2018;6000000.0;microempresarial
femenino;industria;fabrica de;campo_valdes_no._1;3;4.0;30/11/2017;7000000.0;microempresarial
masculino;comercio;tienda de helados;campo_valdes_no._1;2;4.0;11/04/2016;6890000.0;microempresarial
masculino;comercio;tienda;belencito;2;13.0;10/03/2016;6890000.0;microempresarial
femenino;servicio;peluqueria;campo_valdes_no._1;3;4.0;3/04/2018;7800000.0;microempresarial
masculino;servicio;organización y;florencia;3;5.0;21/08/2018;6000000.0;microempresarial
femenino;industria;fabrica de;santa_cruz;2;2.0;9/07/2018;4500000.0;microempresarial
masculino;comercio;variedades;robledo;2;7.0;17/01/2017;7377000.0;microempresarial
masculino;industria;fabrica de;pablo_vi;2;2.0;16/05/2017;7000000.0;microempresarial
femenino;servicio;comidas rapidas;boyaca;3;5.0;6/03/2018;6000000.0;microempresarial
masculino;servicio;variedades;robledo;2;7.0;30/12/2016;4000000.0;microempresarial
femenino;comercio;tienda;manrique_central_no._2;2;3.0;6/05/2016;3500000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7.0;10/07/2018;3800000.0;microempresarial
masculino;comercio;cafeteria;santa_cruz;2;2.0;8/08/2018;7800000.0;microempresarial
femenino;comercio;variedades;belen;3;16.0;12/07/2017;7370000.0;microempresarial
femenino;comercio;variedades;la_francia;2;2.0;1/08/2018;6000000.0;microempresarial
masculino;comercio;legumbreria;pedregal;3;6.0;15/03/2018;7800000.0;microempresarial
masculino;comercio;variedades;campo_valdes_no._1;3;4.0;7/03/2018;7000000.0;microempresarial
masculino;comercio;restaurante;boyaca;3;5.0;5/05/2017;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;1;7.0;17/05/2017;6000000.0;microempresarial
femenino;comercio;variedades;prado;3;10.0;18/04/2016;6890000.0;microempresarial
femenino;servicio;servicios;robledo;2;7.0;19/07/2017;7300000.0;microempresarial
femenino;comercio;distribuidora de;cabecera_san_cristobal;2;60.0;17/08/2017;4000000.0;microempresarial
femenino;industria;fabrica de;picacho;1;6.0;7/09/2016;4000000.0;microempresarial
femenino;comercio;fabrica de;santa_cruz;2;2.0;18/07/2018;7812000.0;microempresarial
masculino;industria;fabrica de;doce_de_octubre_no.1;1;6.0;31/05/2017;5000000.0;microempresarial
femenino;comercio;variedades;picacho;2;6.0;4/07/2018;5000000.0;microempresarial
femenino;servicio;mantenimiento en;san_joaquin;3;11.0;9/08/2018;7800000.0;microempresarial
femenino;comercio;variedades;castilla;3;5.0;2/09/2016;6000000.0;microempresarial
masculino;servicio;mantenimiento en;la_america;3;12.0;10/05/2016;6890000.0;microempresarial
masculino;industria;fabrica de;robledo;2;7.0;15/11/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;manrique_oriental;2;7.0;30/05/2018;7800000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._2;2;3.0;29/01/2018;7800000.0;microempresarial
femenino;servicio;cafe e internet;san_javier_no.1;1;13.0;31/10/2018;3000000.0;microempresarial
masculino;comercio;comidas rapidas;enciso;2;8.0;12/06/2019;8000000.0;microempresarial
femenino;comercio;tienda;campo_valdes_no._1;3;4.0;25/02/2016;300000.0;microempresarial
femenino;comercio;almacen de ropa en;villa_niza;2;2.0;12/04/2018;5000000.0;microempresarial
masculino;comercio;almacen de ropa en;barrio_caicedo;1;9.0;14/08/2018;5500000.0;microempresarial
femenino;industria;fabrica de;la_francia;2;2.0;1/11/2016;6890000.0;microempresarial
masculino;comercio;distribuidora de;el_pinal;2;8.0;3/04/2019;8281000.0;microempresarial
femenino;industria;fabrica de;buenos_aires;3;9.0;11/03/2019;8000000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._1;2;4.0;24/04/2018;5000000.0;microempresarial
masculino;comercio;restaurante;la_colina;3;15.0;20/06/2017;4000000.0;microempresarial
femenino;industria;fabrica de;santander;3;6.0;8/02/2017;3500000.0;microempresarial
masculino;industria;fabrica de;campo_valdes_no._1;2;4.0;6/12/2017;7300000.0;microempresarial
femenino;industria;variedades;aranjuez;3;4.0;11/10/2018;3000000.0;microempresarial
femenino;servicio;mantenimiento en;buenos_aires;1;9.0;16/11/2017;7000000.0;microempresarial
masculino;comercio;variedades;robledo;2;7.0;26/01/2018;5000000.0;microempresarial
masculino;comercio;comidas rapidas;aranjuez;2;4.0;10/05/2018;1500000.0;microempresarial
femenino;industria;fabrica de repuestos;san_benito;3;10.0;28/05/2018;5000000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;3;4.0;14/02/2017;6000000.0;microempresarial
femenino;industria;variedades;aranjuez;3;4.0;4/05/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;3;7.0;22/02/2018;5000000.0;microempresarial
femenino;industria;fabrica de;aranjuez;3;4.0;10/04/2018;3000000.0;microempresarial
masculino;comercio;fabrica de calzado;manila;3;14.0;22/04/2019;1500000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;2;7.0;6/12/2017;7300000.0;microempresarial
masculino;industria;carpinteria;santa_cruz;1;2.0;11/08/2016;4000000.0;microempresarial
masculino;comercio;fabrica de alimentos;popular;2;1.0;7/11/2018;7800000.0;microempresarial
femenino;industria;fabrica de;manrique_central_no._1;3;4.0;17/05/2018;5000000.0;microempresarial
femenino;industria;fabrica de;lopez_de_mesa;3;7.0;20/09/2017;5000000.0;microempresarial
femenino;comercio;variedades;pedregal;3;6.0;25/10/2017;7377000.0;microempresarial
